Código,País,Enero - Diciembre 1980,,Enero - Diciembre 1981,,Enero - Diciembre 1982,,Enero - Diciembre 1983,,Enero - Diciembre 1984,,Enero - Diciembre 1985,,Enero - Diciembre 1986,,Enero - Diciembre 1987,,Enero - Diciembre 1988,,Enero - Diciembre 1989,,Enero - Diciembre 1990,,Enero - Diciembre 1991,,Enero - Diciembre 1992,,Enero - Diciembre 1993,,Enero - Diciembre 1994,,Enero - Diciembre 1995,,Enero - Diciembre 1996,,Enero - Diciembre 1997,,Enero - Diciembre 1998,,Enero - Diciembre 1999,,Enero - Diciembre 2000,,,,,Enero - Diciembre 2001,,,,,Enero - Diciembre 2002,,,,,Enero - Diciembre 2003,,,,,Enero - Diciembre 2004,,,,,Enero - Diciembre 2005,,,,,Enero - Diciembre 2006,,,,,Enero - Diciembre 2007,,,,,Enero - Diciembre 2008,,,,,Enero - Diciembre 2009,,,,,Enero - Diciembre 2010,,,,,Enero - Diciembre 2011,,,,,Enero - Diciembre 2012,,,,,Enero - Diciembre 2013,,,,,Enero - Diciembre 2014,,,,,Enero - Diciembre 2015,,,,,Enero - Diciembre 2016,,,,,Enero - Diciembre 2017,,,,,Enero - Diciembre 2018,,,,,Enero-diciembre2019,,,,,Enero-diciembre2020,,,,,Enero-diciembre2021,,,,Enero - diciembre 2022,,,,Enero - diciembre 2023,,,,Enero - mayo 2024,,,
443,Lituania,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"423,099",,"1,332,384",,"1,544,324",,"345,469",,"1,715,853",,"216,059",,"566,545",,"736,558","1,503,594,405","691,793","14,285",,"2,042,832","4,711,212,164","1,774,561","6,978,992",,"5,405,047","14,550,274,531","4,614,027","31,523,945",,"7,688,542","13,306,325,470","4,270,755","582,633",,"914,695","2,280,923,428","784,567","667,226",,"755,247","1,758,633,345","665,780","354,537",,"4,167,963","9,596,643,417","3,494,273","13,437,799",,"25,500,709","52,451,442,457","20,584,767","88,298,017",,"29,410,891","53,418,404,579","24,856,941","39,311,626",,"19,583,046","39,587,146,213","17,996,145","37,652,962",,"54,994,596","104,283,821,470","48,190,869","131,957,866",,"79,719,539","147,161,921,625","70,388,367","160,956,218",,"53,164,734","95,667,610,321","48,618,865","95,135,487",,"22,362,228","41,015,341,763","19,844,286","43,387,581",,"4,296,728","8,477,244,866","3,827,045","3,514,259",,"3,070,902","8,302,712,295","2,689,562","2,321,425",,"6,946,865","20,629,564,318","6,220,134","18,166,182",,"3,626,002","10,728,571,787","3,257,772","1,799,045",,"5,715,157","16,573,563,430","5,177,835","6,652,380",,"13,134,566","44,287,756,103","11,609,184","32,027,539",,"17,139,157","60,691,118,764","14,917,772","47,120,053",,"33,994,110","130,288,068,692","31,846,182","44,809,272","34,878,517","145,380,073,664","28,870,924","25,583,099","39,516,147","163,909,612,345","37,508,732","39,730,300","4,408,902","17,215,995,674","4,052,636","1,836,888"
445,Luxemburgo,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"9,719",,"933,491",,"2,661,366",,"172,929",,"510,778","1,071,025,772","475,357","291,734",,"1,284,272","2,957,857,789","1,208,491","892,804",,"718,081","1,737,881,834","648,483","1,054,197",,"965,365","3,862,177,558","1,226,109","1,471,489",,"2,072,421","5,534,132,108","1,968,051","471,377",,"2,803,120","6,558,320,352","2,588,388","2,656,557",,"1,996,070","4,696,226,927","1,862,354","847,453",,"3,075,416","6,301,486,221","2,782,964","2,218,576",,"4,597,392","9,061,393,546","4,173,056","1,993,220",,"2,613,887","5,661,503,062","2,358,653","943,526",,"6,232,653","11,919,280,396","5,639,354","3,565,966",,"4,374,786","8,126,355,781","4,096,385","905,608",,"7,607,664","13,654,952,241","7,206,656","2,552,511",,"9,680,241","18,144,699,984","8,976,082","5,160,115",,"11,737,515","23,153,413,791","10,714,537","9,469,445",,"7,430,022","20,565,104,896","6,762,610","5,396,365",,"6,353,116","19,233,706,807","5,884,193","3,963,886",,"9,746,574","28,706,548,384","9,130,419","5,124,517",,"13,712,208","40,577,658,950","12,794,883","10,611,746",,"8,503,936","27,881,146,791","7,951,123","5,391,858",,"6,316,688","23,132,977,605","5,914,379","2,718,579",,"7,268,866","27,246,980,688","6,752,538","2,122,281","8,592,907","35,818,261,430","7,814,827","2,510,869","7,373,932","32,621,933,869","6,692,873","2,216,724","2,870,494","11,268,905,819","2,674,421","626,874"
447,Macao,0,,"7,296",,"4,560",,"2,222",,0,,0,,"4,599",,"13,422",,0,,0,,0,,"26,779",,"62,923",,"18,686",,"30,417",,"97,348",,"125,775",,"31,619",,"87,431",,"42,530",,"237,769","511,794,017","230,079","5,154",,"317,865","732,125,654","309,189","4,760",,"138,217","348,694,004","132,304","13,495",,0,"247,068,068","82,550","2,433",,"62,159","161,624,464","59,896","1,663",,"97,533","226,459,723","94,114","2,454",,"134,021","310,325,892","128,349","3,077",,"173,317","362,377,834","163,159","5,682",,"1,673,233","3,706,879,951","1,631,338","49,339",,"1,090,900","2,461,276,030","1,076,085","29,781",,"221,810","405,093,540","209,574","16,253",,"107,015","197,503,942","103,385","4,759",,"60,101","107,694,653","59,134","1,046",,"263,059","492,958,134","248,692","3,379",,"145,664","292,947,712","136,556","25,392",,"17,072","45,661,693","16,242",833,,"105,593","335,158,737","102,192","1,075",,"63,305","188,530,077","60,027","4,294",,"18,203","54,276,391","15,150",628,,"25,844","84,149,139","25,531","1,272",,"327,509","1,171,395,264","323,982","10,796",,"309,050","1,166,805,094","303,434","9,283","112,513","478,074,492","108,184","3,570","165,575","717,098,063","159,764","4,034","13,467","52,879,094","13,058",529
448,Macedonia,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"26,698",,"72,136",,"10,112",,0,,"4,168",,"10,878",,"49,386","103,987,834","48,070","1,332",,"8,669","19,327,744","8,424",239,,0,0,0,0,,0,0,0,0,,"3,684","10,136,203","2,827",153,,"10,769","24,798,016","10,344",206,,"1,711","3,913,409","1,638",15,,"191,486","405,837,874","184,610","34,475",,"1,020,846","2,005,297,856","985,106","162,380",,"14,438","30,677,564","13,339",224,,"43,386","82,157,843","40,670","1,012",,"252,417","477,379,412","240,708","27,934",,"358,707","645,838,367","347,645","35,182",,"456,087","873,367,996","442,422","49,783",,"115,358","225,390,475","106,507","9,664",,"411,887","1,196,980,324","393,452","55,206",,"362,788","1,072,404,360","352,416","54,569",,"81,478","236,919,995","76,143","21,007",,"154,080","450,510,864","141,100","17,981",,"228,874","733,734,946","225,208","19,931",,"337,662","1,292,149,762","219,198","254,189",,"33,070","121,984,238","26,904","2,790","199,053","828,128,546","178,109","75,284","126,737","542,837,662","112,305","35,066","75,200","293,921,339","62,229","7,044"
450,Madagascar,"541,349",,"202,895",,"261,857",,"306,372",,"67,168",,"71,748",,"99,757",,"91,894",,0,,0,,0,,"273,056",,"119,204",,"67,247",,"38,768",,"98,895",,"172,193",,"398,635",,"92,649",,"1,907",,"262,641","568,791,515","252,605","52,322",,"20,099","46,498,498","19,206","2,972",,"1,987","4,776,215","1,830",501,,0,"506,049,436","161,015","63,851",,"8,247","21,664,587","7,313",563,,"176,847","412,214,698","164,115","46,069",,"16,725","40,099,300","13,046","3,420",,"17,144","34,027,647","16,730",268,,"11,939","22,611,322","11,284",211,,"32,286","66,571,951","31,204",632,,"251,261","468,506,641","227,225","7,676",,"504,771","944,193,354","391,879","13,409",,"2,216,213","3,986,940,158","2,149,211","84,782",,"2,055,514","3,787,577,660","1,918,940","92,348",,"251,753","498,250,861","234,355","9,633",,"850,613","2,415,498,761","821,217","59,061",,"406,520","1,236,711,865","384,164","18,635",,"736,096","2,194,953,535","711,089","40,795",,"699,732","2,102,820,100","668,344","41,535",,"743,872","2,470,577,240","713,108","63,750",,"508,180","1,816,920,007","484,629","41,163",,"557,978","2,108,621,418","531,277","41,275","758,041","3,285,867,438","714,926","52,854","867,350","3,615,795,093","829,300","62,506","684,734","2,673,301,932","654,760","53,773"
455,Malasia,"12,360,534",,"11,615,688",,"11,832,914",,"7,696,794",,"7,528,846",,"7,523,976",,"7,111,389",,"7,050,573",,"8,319,086",,"11,701,514",,"9,166,282",,"6,622,848",,"10,808,221",,"13,036,452",,"14,934,309",,"20,627,819",,"36,808,661",,"37,070,468",,"23,318,166",,"22,824,140",,"35,391,961","74,324,451,190","32,734,702","12,757,883",,"33,338,656","76,602,398,170","31,187,060","10,897,242",,"34,685,000","87,541,951,343","32,836,668","8,212,370",,"25,864,540","177,430,498,522","59,527,216","9,392,148",,"63,703,242","167,592,109,067","60,990,882","9,318,547",,"74,683,776","173,164,686,917","70,937,832","9,314,797",,"139,696,402","332,263,569,051","134,039,125","14,079,750",,"160,542,280","333,692,640,218","153,700,532","17,231,075",,"173,915,999","339,443,811,708","165,981,850","16,315,721",,"107,674,883","235,891,849,206","100,331,023","19,801,768",,"139,171,174","261,445,866,001","129,336,200","44,904,989",,"214,359,945","393,605,895,623","202,125,989","54,439,539",,"207,390,180","373,078,282,500","196,458,332","35,632,733",,"198,370,144","372,055,258,278","189,277,360","30,243,686",,"225,743,837","449,812,791,742","216,743,271","27,516,458",,"170,125,464","462,335,847,837","163,779,628","20,749,552",,"162,554,676","493,136,471,128","155,825,942","38,460,856",,"171,516,373","506,728,562,210","165,196,753","26,164,915",,"201,952,301","598,458,384,479","194,164,665","32,739,354",,"210,234,996","691,563,036,404","202,055,420","37,965,106",,"177,038,363","648,317,157,317","169,543,501","34,635,345",,"255,260,004","955,786,427,934","236,749,880","50,179,328","244,583,382","1,027,911,157,492","221,485,452","30,253,271","175,485,976","758,633,061,696","166,821,742","49,626,765","75,710,472","294,764,861,678","71,521,531","32,733,649"
458,Malawi,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"3,510",,0,,"4,363",,0,,"45,823",,0,,"3,025",,"59,922","122,256,463","55,801","39,288",,"3,934","9,073,391","3,536",39,,76,"206,147",26,26,,0,0,0,0,,96,"263,065",89,6,,0,0,0,0,,0,0,0,0,,"126,483","255,944,151","121,790","26,903",,"1,191,106","2,252,150,845","1,078,058","358,569",,"112,594","276,048,030","83,437","97,020",,"52,292","99,183,651","33,389","41,580",,"227,787","423,915,278","191,257","114,866",,"140,117","250,640,431","124,041","15,596",,"1,417,377","2,595,107,862","1,353,313","253,975",,"1,283,786","2,771,548,542","1,169,179","322,099",,"89,435","276,475,514","80,856","23,494",,"84,121","258,327,030","82,546","9,703",,"213,131","630,964,773","208,437","27,248",,152,"481,909",130,3,,"1,761","5,965,950","1,646",30,,759,"2,771,304",743,1,,"20,532","81,961,603","18,725","2,634",141,"555,071",123,12,922,"3,777,029",875,20,0,0,0,0
461,Maldivas,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,211,,0,,0,,46,"100,262",44,2,,"4,405","10,195,018","4,319",94,,"2,896","7,122,887","2,820",74,,0,"5,719,192","1,479",179,,"1,077","2,736,779","1,058",19,,0,0,0,0,,0,0,0,0,,560,"1,131,256",519,722,,0,0,0,0,,0,0,0,0,,0,0,0,0,,"1,800","3,147,488","1,300",143,,0,0,0,0,,"15,557","28,516,997","13,994","23,500",,900,"1,834,828",823,415,,0,0,0,0,,"5,737","16,733,868","5,713",15,,"21,794","64,056,434","19,923","2,789",,51,"162,890",40,1,,4,"12,995",4,0,,"3,865","13,454,025","3,527",40,,"120,496","434,859,218","104,661","80,562",0,0,0,0,588,"2,465,479",574,28,0,0,0,0
464,Mali,0,,0,,0,,0,,0,,903,,0,,0,,"13,545",,"133,198",,0,,"1,211",,0,,"2,872",,0,,"11,210",,"2,645",,"7,625",,0,,0,,"3,007","6,536,556","2,825",625,,0,0,0,0,,"82,534","225,917,242","73,354","80,002",,0,0,0,0,,"26,197","68,303,400","24,740","20,058",,"354,865","813,811,361","323,785","285,107",,"41,639","95,075,120","38,308","20,202",,"85,926","166,593,247","75,163","22,936",,"3,815","7,101,347","3,073",548,,0,0,0,0,,"212,113","400,705,243","202,106","41,607",,"27,246","51,933,226","26,318","1,083",,"18,812","34,190,545","17,590",244,,"50,503","90,037,732","49,567",122,,"17,272","32,560,728","16,638",222,,"126,292","324,015,945","124,815","3,805",,"24,735","75,055,049","18,004","1,397",,"41,705","120,566,347","40,656","1,337",,"5,946","18,516,478","4,635",463,,"16,261","55,710,090","15,450","1,070",,"131,052","466,602,561","116,592","32,775",,"10,678","38,480,754","6,964","1,122","19,748","94,014,947","14,912",424,"3,792","17,266,624","2,751",22,185,"720,114",181,15
467,Malta,"38,517",,"26,483",,"116,114",,"85,742",,"77,903",,"79,688",,"67,054",,"520,856",,"868,828",,"50,451",,"94,903",,"26,391",,"270,725",,"142,838",,"1,382,564",,"5,591,642",,"4,341,146",,"98,179",,"518,852",,"54,561",,"76,616","160,323,312","73,835","3,033",,"75,126","172,416,513","71,790","2,025",,"43,713","106,647,503","41,570","1,278",,"22,001","122,313,951","38,272","1,076",,"88,028","231,974,813","78,366","2,425",,"862,319","1,997,577,315","812,325","24,593",,"408,673","949,503,137","378,602","135,292",,"168,289","342,146,428","145,469","4,138",,"400,135","790,514,654","355,911","6,106",,"1,163,673","2,495,325,730","1,125,495","21,361",,"1,021,277","1,927,735,795","978,591","15,716",,"1,083,779","1,990,905,039","1,035,248","31,721",,"1,393,317","2,504,459,655","1,341,344","13,208",,"1,174,752","2,175,903,633","1,123,011","9,735",,"1,629,566","3,227,588,269","1,562,990","19,283",,"1,800,333","4,765,053,246","1,729,380","18,774",,"851,025","2,625,163,047","822,779","16,156",,"1,159,203","3,418,401,610","1,108,438","51,685",,"2,133,121","6,276,291,671","2,039,255","138,648",,"2,797,200","8,856,261,644","2,059,200","32,823,732",,"2,133,488","7,819,920,583","2,016,697","88,313",,"2,256,484","8,387,435,397","2,066,441","104,099","3,708,153","15,743,289,942","3,392,331","147,678","4,251,278","18,005,529,091","4,049,260","145,561","2,887,787","11,241,892,989","2,835,290","76,758"
468,"Man, Isla",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,"Marianas del Norte, Islas",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,532,,"1,941",,0,,433,"920,992",413,18,,361,"839,723",349,8,,"1,834","4,771,017","1,455","4,889",,0,"1,211,680",396,23,,169,"440,787",155,12,,"18,002","41,609,934","17,245",336,,"61,859","146,239,216","58,617","1,122",,"43,194","91,175,979","41,014",713,,"11,899","23,407,688","11,294",219,,"3,995","9,931,073","3,779",127,,705,"1,357,969",692,8,,0,0,0,0,,197,"355,461",182,8,,0,0,0,0,,0,0,0,0,,667,"1,599,305",659,44,,2,"6,375",2,1,,0,0,0,0,,25,"75,473",23,1,,"3,752","12,931,875","3,736",122,,"6,664","23,054,711","6,571",177,,0,0,0,0,"47,621","215,328,519","46,239",186,6,"31,734",5,0,0,0,0,0
472,"Marshall, Islas",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,,"4,546","10,146,581","3,180","3,913",,0,"13,196,573","4,384","1,272",,0,0,0,0,,0,0,0,0,,"2,231","5,234,623","1,999",13,,0,0,0,0,,"6,211","14,382,246","5,774",33,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,"13,750","45,833,371","13,568","2,010",,"157,074","482,064,362","147,431","61,130",,0,0,0,0,,0,0,0,0,,0,0,0,0,,"39,696","156,517,640","33,156","130,000",,0,0,0,0,626,"3,020,970",593,59,0,0,0,0,0,0,0,0
474,Marruecos,"615,976",,"433,231",,"944,941",,"664,917",,"415,625",,"8,366",,"2,430,528",,"966,329",,"6,346",,0,,"2,284",,"25,537",,"44,606",,"291,786",,"315,750",,"562,852",,"502,139",,"593,579",,"1,135,784",,"457,421",,"1,054,080","2,179,251,668","912,668","7,171,777",,"902,901","2,041,831,199","658,452","10,648,230",,"2,627,290","6,840,404,677","1,843,538","31,069,607",,"2,949,063","6,991,688,442","2,262,340","8,434,459",,"5,139,970","13,366,163,883","4,005,758","30,434,092",,"9,248,484","21,451,492,261","5,744,743","99,502,261",,"7,777,481","18,328,002,638","5,483,862","85,170,293",,"13,122,873","26,956,335,741","8,670,393","133,119,043",,"28,784,612","57,571,265,437","23,799,227","119,102,547",,"17,018,977","37,277,789,621","14,166,303","96,001,095",,"25,621,849","48,339,213,684","20,440,456","117,896,592",,"36,895,359","67,683,463,116","31,643,517","102,214,649",,"37,571,174","67,817,249,624","34,215,389","81,013,433",,"50,661,911","94,587,447,640","42,685,745","228,682,763",,"46,567,893","92,836,916,311","40,109,924","203,799,673",,"33,755,761","90,404,168,961","30,776,588","65,229,150",,"38,969,989","118,233,410,762","35,514,818","70,213,783",,"42,954,141","126,632,395,276","39,839,114","40,108,824",,"39,511,986","115,991,041,851","35,234,973","61,106,180",,"33,192,643","109,008,377,418","30,674,628","8,029,822",,"39,719,758","145,752,818,503","35,798,922","77,692,044",,"45,775,394","170,819,834,074","39,042,291","76,551,448","58,343,281","248,539,118,656","49,168,132","128,161,499","84,800,373","369,748,212,807","74,702,581","287,466,606","36,188,365","140,229,070,889","31,191,482","103,251,350"
477,Martinica,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,245,,0,,577,,569,,613,"1,218,006",244,85,,0,0,0,0,,0,0,0,0,,"35,783",0,0,0,,"2,104","5,375,245",0,"19,650",,287,"670,360",183,30,,"2,001,602","4,661,373,382","1,568,609","8,261,315",,"2,860,829","5,839,500,087","2,421,942","9,210,902",,"6,173,037","12,022,749,611","5,304,351","12,672,420",,"1,766","3,631,627","1,049",85,,"3,830","7,443,133","3,758",85,,210,"387,989",206,5,,"23,118,685","42,593,053,299","22,687,649","24,291,533",,"3,692","6,977,412","3,504",249,,0,0,0,0,,"6,112","18,005,769","5,000","12,736",,"8,816","25,733,992","8,000","11,490",,0,0,0,0,,0,0,0,0,,"2,709","8,440,587","1,200","2,600",,0,0,0,0,,"7,993","30,979,763","5,637","1,816",0,0,0,0,39,"158,323",16,0,0,0,0,0
485,Mauricio,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"53,133",,"6,210",,"10,151",,"36,895",,909,,"6,832",,"183,023",,"3,694",,"13,371","28,542,021","12,959",342,,"29,935","69,049,442","29,300",715,,"56,235","141,339,016","50,731","1,556",,"5,450","188,368,572","64,339","1,656",,"65,569","170,357,730","63,706","1,265",,"137,030","316,107,300","134,313","2,328",,"121,036","282,991,496","118,199","1,783",,"205,205","426,296,660","198,630","3,408",,"199,987","394,314,651","193,866","2,792",,"184,518","400,564,012","180,230","2,517",,"180,090","340,124,059","176,452","2,860",,"2,500,914","4,518,674,321","2,441,117","220,101",,"883,681","1,589,649,771","861,863","25,442",,"1,236,495","2,324,833,056","1,206,249","99,131",,"729,342","1,454,264,936","707,385","37,196",,"1,112,218","2,983,229,507","1,092,443","16,240",,"369,047","1,111,459,638","360,293","7,240",,"848,219","2,521,811,084","836,724","15,093",,"687,301","2,041,702,384","672,697","27,489",,"766,615","2,562,092,766","746,005","63,155",,"265,871","963,033,911","259,288","3,314",,"750,248","2,676,571,794","666,968","327,464","327,641","1,451,462,548","317,026","4,985","459,261","2,062,408,352","448,019","8,034","138,281","540,005,139","136,436","2,062"
488,Mauritania,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"19,800",,0,,"4,056",,0,,0,,"2,730",,0,,"24,366","52,208,286","23,932",378,,"6,043","14,012,400","5,680",91,,"4,268","10,355,058","3,994",81,,0,"2,427,647",803,22,,"15,859","40,115,111","15,488",260,,"12,770","30,051,923","11,531",387,,"46,500","108,576,338","45,506",646,,"219,368","467,749,537","182,312","153,084",,"45,967","100,129,693","45,206",599,,"10,017","24,244,550","9,789",141,,"7,923","14,506,354","7,667",241,,"91,855","162,748,029","89,944","1,392",,"27,024","48,505,140","25,757",784,,"78,110","145,580,031","70,570","23,491",,"4,050","7,838,708","3,886",59,,"22,332","74,172,426","21,997",53,,0,0,0,0,,83.34,245109,78.79,1.22,,"442,814","1,282,654,075","425,295","179,491",,"481,980","1,641,108,126","461,670","202,698",,"878,063","3,443,871,221","721,014","7,735,236",,"27,800","105,182,563","21,634","27,204","510,357","1,921,877,031","507,698","42,870","27,038","112,008,665","26,737",427,456,"1,791,277",317,5
489,Mayote,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,México,"63,725,220",,"68,549,425",,"80,717,349",,"107,828,978",,"116,438,577",,"155,340,633",,"122,062,388",,"152,890,751",,"208,733,688",,"126,204,940",,"126,018,784",,"157,525,344",,"192,740,027",,"264,232,976",,"341,734,197",,"505,142,274",,"516,238,669",,"593,478,534",,"631,287,158",,"466,200,621",,"549,041,930","1,150,069,583,310","516,897,707","298,772,012",,"588,873,296","1,355,355,774,978","556,122,456","312,956,805",,"676,579,814","1,683,028,393,007","642,950,248","387,274,231",,"697,141,297","2,148,991,518,489","711,348,323","345,398,307",,"1,044,468,633","2,736,513,701,351","995,444,662","446,488,482",,"1,757,067,552","4,070,655,500,005","1,683,325,686","598,085,009",,"2,290,570,560","5,412,731,053,218","2,197,254,744","641,846,431",,"3,072,565,218","6,359,161,414,586","2,947,285,307","945,008,342",,"3,125,980,377","6,137,837,811,820","2,986,260,852","975,305,191",,"2,297,888,324","4,906,428,570,200","2,199,089,503","1,058,413,529",,"3,856,674,125","7,298,352,757,777","3,694,137,905","1,539,930,621",,"6,059,027,213","11,168,995,742,714","5,849,097,827","2,095,415,901",,"6,452,740,547","11,594,825,552,559","6,233,967,047","2,659,086,690",,"5,495,957,504","10,265,521,122,332","5,299,806,265","2,399,291,160",,"5,272,631,646","10,527,520,808,112","5,091,193,570","1,708,129,707",,"3,852,939,651","10,457,346,195,192","3,720,257,345","1,657,003,466",,"3,410,737,364","10,383,610,421,583","3,298,134,176","1,605,769,506",,"3,436,894,684","10,141,306,736,593","3,325,157,083","1,429,927,468",,"3,947,393,675","11,619,483,475,513","3,826,294,951","1,616,430,772",,"3,879,621,854","12,734,622,502,583","3,753,836,403","1,517,450,550",,"2,925,826,501","10,702,846,084,121","2,832,577,374","973,652,301",,"3,800,480,422","14,264,074,561,684","3,665,228,942","1,194,627,259","4,174,746,071","17,709,565,199,352","3,983,357,305","1,303,865,327","3,090,354,965","13,426,043,480,783","2,971,022,592","749,248,361","1,376,818,713","5,353,902,629,824","1,330,834,415","253,738,781"
494,"Micronesia, Estados Federados de",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,253,,0,,0,,0,0,0,0,,19,"43,863",18,1,,0,0,0,0,,"1,115",0,0,0,,0,0,0,0,,57,"132,463",50,5,,0,0,0,0,,145,"293,978",139,4,,0,0,0,0,,63,"126,162",59,58,,"25,487","49,071,260","24,143","3,223",,"33,151","62,950,550","32,026","1,247",,107,"190,501",91,41,,89,"168,404",86,2,,0,0,0,0,,0,0,0,0,,630,"1,838,329",618,18,,0,0,0,0,,"57,609","157,330,524","54,621","68,164",,"6,490","20,708,754","6,388",255,,288,"1,090,710",281,6,,"2,070","7,297,928","1,316",21,"3,003","14,870,817","2,622",57,0,0,0,0,0,0,0,0
495,"Midway, islas",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"219,541",,"46,193",,0,,0,,0,,0,,"1,639,483",,"52,621",,"123,969",,"45,220",,"98,540","216,065,471","86,199","47,477",,0,0,0,0,,322,"858,584",312,4,,0,0,0,0,,0,0,0,0,,"23,077","53,249,485","21,275","5,414",,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,"Moldavia, República de",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"157,683",,"99,278",,"285,321",,"331,471",,"44,962",,"33,138",,129,"275,903",121,20,,"122,292","283,642,870","115,988","30,942",,"41,670","102,196,123","37,311","52,939",,"495,968","277,172",92,5,,"3,795,439","9,624,060,427","3,379,693","8,711,681",,"13,827","32,550,620","12,800","2,482",,"12,393","30,018,216","11,918",156,,"11,352","23,311,533","10,979",231,,"19,753","40,398,399","16,450",560,,"47,188","101,352,343","45,058","2,213",,"43,014","77,625,725","38,898","5,668",,"47,989","90,812,342","42,418","5,507",,"41,941","75,421,846","40,183",689,,"178,400","332,907,737","159,128","5,454",,"206,982","414,146,005","195,352","5,996",,"91,611","238,488,359","86,707","3,733",,"449,864","1,336,417,610","399,743","77,763",,"1,631,420","4,806,604,533","1,420,456","361,675",,"2,741,398","7,979,072,120","2,433,797","1,031,967",,"1,409,173","4,643,125,143","1,239,740","293,737",,"421,608","1,486,653,033","347,324","75,951",,"323,508","1,227,750,675","245,350","26,471","1,606,975","6,675,951,060","1,128,094","408,585","2,121,354","9,261,157,045","1,729,805","180,848","318,855","1,243,217,951","199,310","31,762"
497,Mongolia,0,,0,,"4,295",,"9,252",,0,,0,,609,,0,,586,,0,,0,,0,,0,,"11,523",,"569,886",,0,,576,,"3,193",,"8,147",,"176,063",,"91,521","185,416,841","87,841","8,980",,"31,151","71,706,627","30,261",514,,"98,134","254,662,702","93,156","1,901",,"24,716","73,436,602","22,996",331,,"5,095","12,757,693","3,957",411,,"22,386","52,527,387","20,769","17,016",,"9,744","22,048,972","9,129","3,847",,"3,792","7,664,980","3,629",18,,0,0,0,0,,"23,446","49,108,361","21,549",228,,14,"25,767",13,1,,148,"267,983",137,4,,0,0,0,0,,"5,687","10,966,305","4,711",117,,"14,107","27,867,013","10,100","3,600",,"119,705","293,410,210","114,475","48,003",,"3,072","10,551,982",810,"1,000",,"46,316","134,863,576","29,677","12,778",,"5,735","17,707,068","4,611",612,,315,"982,372",310,1,,"14,625","50,866,897","13,616","1,142",,20,"75,969",20,0,"17,329","83,498,456","11,098","4,521",0,0,0,0,332,"1,303,309",327,3
