,ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_FECHANACIMIENTO,PERIODO,ESTU_CONSECUTIVO,ESTU_ESTUDIANTE,ESTU_PAIS_RESIDE,ESTU_TIENEETNIA,ESTU_DEPTO_RESIDE,ESTU_COD_RESIDE_DEPTO,ESTU_MCPIO_RESIDE,ESTU_COD_RESIDE_MCPIO,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,COLE_COD_DANE_ESTABLECIMIENTO,COLE_CODIGO_ICFES,COLE_NOMBRE_ESTABLECIMIENTO,COLE_JORNADA,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_COD_DANE_SEDE,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,COLE_COD_DEPTO_UBICACION,COLE_DEPTO_UBICACION,ESTU_PRIVADO_LIBERTAD,ESTU_COD_MCPIO_PRESENTACION,ESTU_MCPIO_PRESENTACION,ESTU_DEPTO_PRESENTACION,ESTU_COD_DEPTO_PRESENTACION,PUNT_MATEMATICAS,DESEMP_MATEMATICAS,PERCENTIL_MATEMATICAS,PUNT_INGLES,PERCENTIL_INGLES,DESEMP_INGLES,PUNT_C_NATURALES,DESEMP_C_NATURALES,PERCENTIL_C_NATURALES,PUNT_LECTURA_CRITICA,DESEMP_LECTURA_CRITICA,PERCENTIL_LECTURA_CRITICA,PUNT_SOCIALES_CIUDADANAS,DESEMP_SOCIALES_CIUDADANAS,PERCENTIL_SOCIALES_CIUDADANAS,PUNT_GLOBAL,PERCENTIL_GLOBAL,PERCENTIL_ESPECIAL_GLOBAL,ESTU_INSE_INDIVIDUAL,ESTU_NSE_INDIVIDUAL,ESTU_NSE_ESTABLECIMIENTO,ESTU_ESTADOINVESTIGACION
1313,TI,COLOMBIA,F,28/09/2004,20224,SB11202240517006,ESTUDIANTE,COLOMBIA,No,VALLE,76.0,CALI,76001.0,Educación profesional completa,Secundaria (Bachillerato) completa,Estrato 4,5 a 6,Cinco,Si,Si,Si,Si,Si,Si,Si,Si,11 A 25 LIBROS,30 minutos o menos,30 minutos o menos,0,No,1 o 2 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia",Mejor,176001004531.0,17897.0,INSTITUCION EDUCATIVA NORMAL SUPERIOR SANTIAGO DE CALI,MAÑANA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,176001004531.0,INSTITUCION EDUCATIVA NORMAL SUPERIOR SANTIAGO DE CALI,S,URBANO,76001.0,CALI,76.0,VALLE,N,76001,CALI,VALLE,76,40,2,20,37.0,19.0,A-,42,2,29,54,3,54,49,2,55,228,37.0,,61.9226421762971,3.0,3.0,PUBLICAR
1314,TI,COLOMBIA,F,07/09/2005,20224,SB11202240067884,ESTUDIANTE,COLOMBIA,No,PUTUMAYO,86.0,PUERTO ASÍS,86568.0,,,,3 a 4,Dos,,Si,No,No,,No,Si,No,,,,0,No,,,,"Es operario de máquinas o conduce vehículos (taxita, chofer)","Trabaja en el hogar, no trabaja o estudia",Igual,186568000559.0,741686.0,IE CIUDAD DE ASIS,UNICA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,186568000559.0,COL DE BTO CIAL CIUDAD DE ASIS,S,URBANO,86568.0,PUERTO ASÍS,86.0,PUTUMAYO,N,86568,PUERTO ASÍS,PUTUMAYO,86,60,3,78,67.0,89.0,A2,63,3,89,63,3,80,61,3,86,311,86.0,,46.0749078465886,2.0,2.0,PUBLICAR
1315,TI,COLOMBIA,F,23/05/2005,20224,SB11202240266945,ESTUDIANTE,COLOMBIA,No,VALLE,76.0,CALI,76001.0,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,Estrato 1,3 a 4,Dos,Si,No,Si,Si,Si,No,Si,No,11 A 25 LIBROS,30 minutos o menos,Entre 1 y 3 horas,0,No,1 o 2 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,"Es agricultor, pesquero o jornalero","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)",Mejor,176001013310.0,733998.0,INSTITUCION EDUCATIVA POLITECNICO MUNICIPAL DE CALI,UNICA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,176001013310.0,INSTITUCION EDUCATIVA POLITECNICO MUNICIPAL DE CALI - SEDE PRINCIPAL,S,URBANO,76001.0,CALI,76.0,VALLE,N,76001,CALI,VALLE,76,64,3,87,62.0,84.0,A2,59,3,82,66,4,89,66,3,94,318,89.0,,52.1707626414356,3.0,3.0,PUBLICAR
1316,TI,COLOMBIA,F,04/01/2006,20224,SB11202240454356,ESTUDIANTE,COLOMBIA,No,CASANARE,85.0,YOPAL,85001.0,Primaria completa,Primaria completa,Estrato 2,1 a 2,Dos,Si,Si,Si,Si,Si,No,Si,No,0 A 10 LIBROS,30 minutos o menos,Entre 1 y 3 horas,0,No,1 o 2 veces por semana,1 o 2 veces por semana,3 a 5 veces por semana,"Trabaja por cuenta propia (por ejemplo plomero, electricista)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc",Igual,185001000268.0,737726.0,IE BRAULIO GONZALEZ,UNICA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,185001000268.0,BRAULIO GONZALEZ,S,URBANO,85001.0,YOPAL,85.0,CASANARE,N,85001,YOPAL,CASANARE,85,45,2,32,43.0,37.0,A-,55,2,71,73,4,98,67,3,95,293,78.0,,50.5520588989944,2.0,2.0,PUBLICAR
1317,TI,COLOMBIA,M,11/02/2005,20224,SB11202240476196,ESTUDIANTE,COLOMBIA,Si,VALLE,76.0,BUENAVENTURA,76109.0,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,7 a 8,Tres,No,No,No,Si,Si,No,No,No,0 A 10 LIBROS,Entre 30 y 60 minutos,Más de 3 horas,Entre 11 y 20 horas,"Si, en efectivo",1 o 2 veces por semana,3 a 5 veces por semana,Nunca o rara vez comemos eso,"Es agricultor, pesquero o jornalero","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción",Igual,176109000516.0,143867.0,JOSE RAMON BEJARANO,SABATINA,MIXTO,OFICIAL,A,N,TÉCNICO,176109000516.0,JOSE RAMON BEJARANO,S,URBANO,76109.0,BUENAVENTURA,76.0,VALLE,N,76109,BUENAVENTURA,VALLE,76,39,2,18,42.0,32.0,A-,36,1,9,45,2,25,39,1,26,200,19.0,,39.9757471141721,1.0,2.0,PUBLICAR
1318,TI,COLOMBIA,M,27/05/2005,20224,SB11202240566291,ESTUDIANTE,COLOMBIA,No,SUCRE,70.0,COROZAL,70215.0,Primaria incompleta,Primaria incompleta,Estrato 1,9 o más,Dos,No,No,Si,Si,Si,No,Si,No,0 A 10 LIBROS,Entre 30 y 60 minutos,Entre 30 y 60 minutos,0,No,Todos o casi todos los días,3 a 5 veces por semana,1 o 2 veces por semana,"Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia",Igual,170215000284.0,15511.0,I.E. LICEO CARMELO PERCY VERGARA,MAÑANA,MIXTO,OFICIAL,A,N,ACADÉMICO,170215000284.0,INST EDUC LICEO CARMELO PERCY VERGARA,S,URBANO,70215.0,COROZAL,70.0,SUCRE,N,70215,COROZAL,SUCRE,70,45,2,33,43.0,37.0,A-,44,2,37,41,2,15,35,1,16,207,23.0,,41.6621161747719,2.0,2.0,PUBLICAR
1319,CC,COLOMBIA,M,19/07/1975,20224,SB11202240607306,ESTUDIANTE,COLOMBIA,No,ANTIOQUIA,5.0,MEDELLÍN,5001.0,Educación profesional completa,Ninguno,Estrato 2,5 a 6,Cuatro,Si,Si,Si,Si,Si,No,Si,Si,0 A 10 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,Más de 30 horas,"Si, en efectivo",Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia",Igual,305001019606.0,105387.0,INSTITUTO DE EDUCACIÓN COMFENALCO  CONSUELO MONTOYA GIL ,NOCHE,MIXTO,NO OFICIAL,A,N,TÉCNICO/ACADÉMICO,305001019606.0,INSTITUTO DE EDUCACIÓN COMFENALCO  CONSUELO MONTOYA GIL ,S,URBANO,5001.0,MEDELLÍN,5.0,ANTIOQUIA,N,5001,MEDELLÍN,ANTIOQUIA,5,27,1,3,39.0,23.0,A-,39,1,20,42,2,17,46,2,46,193,15.0,,60.0103845565458,3.0,2.0,PUBLICAR
1320,TI,COLOMBIA,F,06/11/2006,20224,SB11202240084406,ESTUDIANTE,COLOMBIA,No,SANTANDER,68.0,FLORIDABLANCA,68276.0,Primaria incompleta,Secundaria (Bachillerato) incompleta,Estrato 2,3 a 4,Dos,Si,No,No,No,Si,No,Si,No,0 A 10 LIBROS,No leo por entretenimiento,Entre 30 y 60 minutos,0,No,1 o 2 veces por semana,1 o 2 veces por semana,3 a 5 veces por semana,No aplica,"Trabaja en el hogar, no trabaja o estudia",Peor,168276002404.0,73999.0,INSTITUTO COMUNITARIO MINCA,MAÑANA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,168276002404.0,INSTITUTO COMUNITARIO MINCA,S,URBANO,68276.0,FLORIDABLANCA,68.0,SANTANDER,N,68276,FLORIDABLANCA,SANTANDER,68,61,3,80,58.0,76.0,A2,54,2,68,60,3,72,38,1,25,268,64.0,,42.2321217327675,2.0,2.0,PUBLICAR
1321,TI,COLOMBIA,M,30/09/2004,20224,SB11202240381268,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 3,3 a 4,Tres,Si,Si,Si,No,No,Si,No,No,0 A 10 LIBROS,30 minutos o menos,Más de 3 horas,Entre 21 y 30 horas,"Si, en efectivo",Todos o casi todos los días,Todos o casi todos los días,3 a 5 veces por semana,"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción",Es vendedor o trabaja en atención al público,Mejor,311001110549.0,732826.0,CENTRO EDUCATIVO SAN PABLO CESP,SABATINA,MIXTO,NO OFICIAL,A,,,311001110549.0,CENTRO EDUCATIVO SAN PABLO CESP - SEDE PRINCIPAL,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,44,2,31,56.0,70.0,A1,35,1,7,67,4,91,41,2,34,237,43.0,,52.6133782275423,3.0,2.0,PUBLICAR
1322,TI,COLOMBIA,F,25/06/2004,20224,SB11202240500029,ESTUDIANTE,COLOMBIA,No,CUNDINAMARCA,25.0,SOACHA,25754.0,,,,5 a 6,Tres,,No,Si,No,,No,Si,No,,,,Menos de 10 horas,"Si, en efectivo",,,,"Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia",Igual,225740000189.0,151613.0,INSTITUCION EDUCATIVA DEPARTAMENTAL SAN MIGUEL,SABATINA,MIXTO,OFICIAL,A,,ACADÉMICO,225740000189.0,INSTITUCION EDUCATIVA DEPARTAMENTAL SAN MIGUEL,S,RURAL,25740.0,SIBATÉ,25.0,CUNDINAMARCA,N,25740,SIBATÉ,CUNDINAMARCA,25,37,2,14,31.0,2.0,A-,33,1,5,44,2,22,32,1,9,180,9.0,,38.8549047418873,1.0,2.0,PUBLICAR
1323,TI,COLOMBIA,F,18/11/2005,20224,SB11202240231871,ESTUDIANTE,COLOMBIA,No,BOLIVAR,13.0,CARTAGENA DE INDIAS,13001.0,Técnica o tecnológica completa,Técnica o tecnológica completa,Estrato 3,,,No,,,,No,,,,0 A 10 LIBROS,30 minutos o menos,Entre 1 y 3 horas,,,1 o 2 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,,,,113001002812.0,160259.0,INSTITUCION EDUCATIVA MARIA REINA,MAÑANA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,113001002812.0,INSTITUCION EDUCATIVA MARIA REINA,S,URBANO,13001.0,CARTAGENA DE INDIAS,13.0,BOLIVAR,N,13001,CARTAGENA DE INDIAS,BOLIVAR,13,50,2,47,51.0,57.0,A1,43,2,33,60,3,72,45,2,44,248,51.0,,,,2.0,PUBLICAR
1324,TI,COLOMBIA,F,09/07/2005,20224,SB11202240483785,ESTUDIANTE,COLOMBIA,Si,NARIÑO,52.0,IPIALES,52356.0,Primaria completa,Primaria completa,Sin Estrato,3 a 4,Tres,Si,No,Si,No,Si,No,No,No,11 A 25 LIBROS,Entre 30 y 60 minutos,Entre 30 y 60 minutos,Menos de 10 horas,No,3 a 5 veces por semana,3 a 5 veces por semana,1 o 2 veces por semana,"Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia",Mejor,352356001951.0,177618.0,INSTITUTO DE EDUCACIÓN TECNICA INESUR,SABATINA,MIXTO,NO OFICIAL,A,,,352356001951.0,INSTITUTO DE EDUCACIÓN TECNICA INESUR - SEDE PRINCIPAL,S,URBANO,52356.0,IPIALES,52.0,NARIÑO,N,52356,IPIALES,NARIÑO,52,54,3,60,33.0,7.0,A-,49,2,54,53,3,51,45,2,45,245,48.0,,44.6496104481938,2.0,2.0,PUBLICAR
1325,TI,COLOMBIA,F,03/08/2005,20224,SB11202240499351,ESTUDIANTE,COLOMBIA,No,BOLIVAR,13.0,TURBACO,13836.0,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Dos,No,Si,No,No,No,No,Si,No,11 A 25 LIBROS,30 minutos o menos,30 minutos o menos,0,No,3 a 5 veces por semana,Todos o casi todos los días,Nunca o rara vez comemos eso,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia",Igual,113836000039.0,222729.0,INSTITUCION EDUCATIVA CUARTA POZA DE MANGA,MAÑANA,MIXTO,OFICIAL,A,N,ACADÉMICO,113836000039.0,INSTITUCION EDUCATIVA CUARTA POZA DE MANGA,S,URBANO,13836.0,TURBACO,13.0,BOLIVAR,N,13836,TURBACO,BOLIVAR,13,28,1,4,32.0,5.0,A-,38,1,15,46,2,30,36,1,18,183,10.0,,47.9180212904787,2.0,2.0,PUBLICAR
1326,TI,COLOMBIA,F,21/01/2006,20224,SB11202240257819,ESTUDIANTE,COLOMBIA,No,ATLANTICO,8.0,BARRANQUILLA,8001.0,Primaria incompleta,Primaria incompleta,Estrato 3,7 a 8,Tres,No,No,Si,No,Si,No,Si,No,11 A 25 LIBROS,Entre 30 y 60 minutos,Entre 1 y 3 horas,0,No,1 o 2 veces por semana,1 o 2 veces por semana,3 a 5 veces por semana,"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción",Pensionado,Igual,108001074011.0,87528.0,INSTITUCION EDUCATIVA DISTRITAL NO. 176,MAÑANA,MIXTO,OFICIAL,A,N,ACADÉMICO,108001074011.0,INSTITUCION EDUCATIVA DISTRITAL NO. 176 - SEDE PRINCIPAL,S,URBANO,8001.0,BARRANQUILLA,8.0,ATLANTICO,N,8001,BARRANQUILLA,ATLANTICO,8,54,3,61,50.0,55.0,A1,57,3,77,53,3,49,41,2,34,256,56.0,,41.2285962608782,2.0,2.0,PUBLICAR
1327,TI,COLOMBIA,M,21/05/2005,20224,SB11202240148543,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Dos,Si,No,No,Si,Si,No,No,No,26 A 100 LIBROS,30 minutos o menos,Entre 1 y 3 horas,0,"Si, en efectivo",Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,"Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Trabaja en el hogar, no trabaja o estudia",Peor,111001110477.0,657510.0,COLEGIO NELSON MANDELA (IED),MAÑANA,MIXTO,OFICIAL,A,,,111001110477.0,COLEGIO NELSON MANDELA (IED) - SEDE PRINCIPAL,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,47,2,38,56.0,70.0,A1,46,2,44,54,3,53,30,1,6,226,36.0,,54.0348771193843,3.0,3.0,PUBLICAR
1328,TI,COLOMBIA,F,27/11/2004,20224,SB11202240133820,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,Primaria incompleta,Secundaria (Bachillerato) incompleta,Estrato 2,5 a 6,Cinco,No,Si,Si,Si,Si,No,No,No,26 A 100 LIBROS,Entre 30 y 60 minutos,30 minutos o menos,0,No,Todos o casi todos los días,3 a 5 veces por semana,1 o 2 veces por semana,Es vendedor o trabaja en atención al público,"Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)",Peor,111001017795.0,23994.0,COLEGIO MAGDALENA ORTEGA DE NARIÑO (IED),MAÑANA,FEMENINO,OFICIAL,A,N,ACADÉMICO,111001017795.0,LICEO NAL MAGDALENA ORTEGA DE NARIÑO,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,64,3,86,73.0,95.0,B1,55,2,70,67,4,91,74,4,99,328,92.0,,51.104548083374,2.0,3.0,PUBLICAR
1329,TI,COLOMBIA,M,23/09/2005,20224,SB11202240020338,ESTUDIANTE,COLOMBIA,No,CASANARE,85.0,YOPAL,85001.0,Primaria incompleta,Primaria incompleta,Estrato 1,3 a 4,Uno,Si,No,Si,No,Si,No,Si,No,0 A 10 LIBROS,No leo por entretenimiento,Entre 30 y 60 minutos,Menos de 10 horas,"Si, en efectivo",3 a 5 veces por semana,3 a 5 veces por semana,3 a 5 veces por semana,"Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia",Peor,285001001650.0,696195.0,IE DIVINO SALVADOR,UNICA,MIXTO,OFICIAL,A,,ACADÉMICO,285001001650.0,DIVINO SALVADOR,S,RURAL,85001.0,YOPAL,85.0,CASANARE,N,85001,YOPAL,CASANARE,85,53,3,57,47.0,45.0,A-,39,1,20,40,2,13,44,2,41,221,32.0,,42.2924762581953,2.0,2.0,PUBLICAR
1330,CC,COLOMBIA,M,08/11/2003,20224,SB11202240280393,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,Tres,Si,Si,Si,Si,Si,No,No,No,11 A 25 LIBROS,No leo por entretenimiento,Entre 30 y 60 minutos,0,No,1 o 2 veces por semana,Todos o casi todos los días,1 o 2 veces por semana,"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial",Igual,311001109931.0,194415.0,COLEGIO TECNISISTEMAS,MAÑANA,MIXTO,NO OFICIAL,A,,,311001109931.0,COLEGIO TECNISISTEMAS - SEDE PRINCIPAL,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,51,3,51,54.0,63.0,A1,50,2,56,52,3,46,35,1,16,238,44.0,,57.0371300558171,3.0,3.0,PUBLICAR
1331,TI,COLOMBIA,F,13/12/2004,20224,SB11202240599937,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Sin Estrato,7 a 8,Tres,No,Si,No,No,Si,No,No,Si,0 A 10 LIBROS,No leo por entretenimiento,Entre 1 y 3 horas,0,No,Todos o casi todos los días,Todos o casi todos los días,1 o 2 veces por semana,"Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción",Mejor,111102000753.0,39701.0,COLEGIO FERNANDO MAZUERA VILLEGAS (IED),NOCHE,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,111102000753.0,COL DIST FERNANDO MAZUERA VILLEGAS,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,33,1,8,39.0,25.0,A-,30,1,1,48,2,34,31,1,7,179,8.0,,48.5546485138512,2.0,3.0,PUBLICAR
1332,TI,COLOMBIA,F,19/12/2004,20224,SB11202240515272,ESTUDIANTE,COLOMBIA,No,ATLANTICO,8.0,SOLEDAD,8758.0,,,,,,,,,,,,,,,,,,,,,,,,,308758003340.0,67298.0,CENTRO EDUCATIVO SAN JUAN BOSCO DE SOLEDAD,TARDE,MIXTO,NO OFICIAL,A,N,ACADÉMICO,308758003340.0,CENTRO EDUCATIVO SAN JUAN BOSCO DE SOLEDAD,S,URBANO,8758.0,SOLEDAD,8.0,ATLANTICO,N,8758,SOLEDAD,ATLANTICO,8,34,1,9,61.0,82.0,A2,48,2,51,59,3,70,47,2,49,240,45.0,,,,2.0,PUBLICAR
1333,TI,COLOMBIA,F,23/08/2005,20224,SB11202240602513,ESTUDIANTE,COLOMBIA,No,MAGDALENA,47.0,EL BANCO,47245.0,Secundaria (Bachillerato) completa,Educación profesional completa,Estrato 1,5 a 6,Uno,No,No,Si,Si,Si,No,No,No,11 A 25 LIBROS,Entre 30 y 60 minutos,Entre 1 y 3 horas,0,No,3 a 5 veces por semana,1 o 2 veces por semana,1 o 2 veces por semana,"Es agricultor, pesquero o jornalero",Es vendedor o trabaja en atención al público,Igual,147245001232.0,10736.0,INSTITUCION EDUCATIVA DEPARTAMENTAL SANTA TERESA DE JESUS,MAÑANA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,147245001232.0,COL DPTAL SANTA TERESA DE JESUS,S,URBANO,47245.0,EL BANCO,47.0,MAGDALENA,N,47245,EL BANCO,MAGDALENA,47,40,2,21,34.0,8.0,A-,38,1,15,34,1,4,32,1,9,179,8.0,,47.1843410605639,2.0,2.0,PUBLICAR
1334,TI,COLOMBIA,M,20/09/2004,20224,SB11202240117974,ESTUDIANTE,COLOMBIA,No,MAGDALENA,47.0,SANTA MARTA,47001.0,Técnica o tecnológica incompleta,Técnica o tecnológica incompleta,Estrato 1,3 a 4,Dos,Si,Si,Si,Si,No,No,Si,No,0 A 10 LIBROS,Entre 30 y 60 minutos,Entre 30 y 60 minutos,0,No,3 a 5 veces por semana,1 o 2 veces por semana,Nunca o rara vez comemos eso,"Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)",Es vendedor o trabaja en atención al público,Igual,147001007140.0,72579.0,IED CRISTO REY,TARDE,MIXTO,OFICIAL,A,N,ACADÉMICO,147001007140.0,SEDE 01  CRISTO REY,S,URBANO,47001.0,SANTA MARTA,47.0,MAGDALENA,N,47001,SANTA MARTA,MAGDALENA,47,51,3,50,54.0,66.0,A1,57,3,77,54,3,54,38,1,24,252,53.0,,53.5477350416283,3.0,2.0,PUBLICAR
1335,TI,COLOMBIA,F,27/04/2005,20224,SB11202240066982,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 2,3 a 4,Dos,Si,Si,No,No,Si,No,Si,Si,11 A 25 LIBROS,30 minutos o menos,Más de 3 horas,Entre 21 y 30 horas,"Si, en efectivo",Todos o casi todos los días,Todos o casi todos los días,Todos o casi todos los días,"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia",Mejor,111001076376.0,98772.0,COLEGIO MARRUECOS Y MOLINOS (IED),TARDE,MIXTO,OFICIAL,A,N,ACADÉMICO,111001076376.0,CENT EDUC DIST MARRUECOS Y MOLINOS,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,43,2,27,40.0,26.0,A-,49,2,52,54,3,53,49,2,56,240,45.0,,50.4569980495803,2.0,3.0,PUBLICAR
1336,TI,COLOMBIA,F,28/04/2006,20224,SB11202240188503,ESTUDIANTE,COLOMBIA,No,PUTUMAYO,86.0,PUERTO ASÍS,86568.0,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Estrato 1,1 a 2,Dos,No,Si,No,Si,Si,No,Si,No,0 A 10 LIBROS,Entre 30 y 60 minutos,Entre 30 y 60 minutos,0,No,Nunca o rara vez comemos eso,3 a 5 veces por semana,3 a 5 veces por semana,No sabe,"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc",Igual,186568000559.0,741686.0,IE CIUDAD DE ASIS,UNICA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,186568000559.0,COL DE BTO CIAL CIUDAD DE ASIS,S,URBANO,86568.0,PUERTO ASÍS,86.0,PUTUMAYO,N,86568,PUERTO ASÍS,PUTUMAYO,86,62,3,81,49.0,51.0,A1,53,2,66,62,3,78,53,2,67,284,73.0,,47.9000760595451,2.0,2.0,PUBLICAR
1337,TI,COLOMBIA,F,25/07/2005,20224,SB11202240155789,ESTUDIANTE,COLOMBIA,No,BOGOTÁ,11.0,BOGOTÁ D.C.,11001.0,Educación profesional completa,Educación profesional incompleta,Estrato 2,1 a 2,Uno,Si,Si,Si,Si,Si,No,No,Si,0 A 10 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,0,No,Todos o casi todos los días,Todos o casi todos los días,1 o 2 veces por semana,"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)",Peor,311001047502.0,106989.0,GIMN MIX MANUEL DEL SOCORRO RODRIGUEZ,COMPLETA,MIXTO,NO OFICIAL,A,N,ACADÉMICO,311001047502.0,GIMN MIX MANUEL DEL SOCORRO RODRIGUEZ,S,URBANO,11001.0,BOGOTÁ D.C.,11.0,BOGOTÁ,N,11001,BOGOTÁ D.C.,BOGOTÁ,11,67,3,92,74.0,95.0,B1,66,3,94,68,4,92,71,4,98,342,96.0,,65.6281544707965,4.0,3.0,PUBLICAR
